"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"South Carolina","3 wk ahead","Bin","percent","11.4","11.5",0
"South Carolina","3 wk ahead","Bin","percent","11.5","11.6",0
"South Carolina","3 wk ahead","Bin","percent","11.6","11.7",0
"South Carolina","3 wk ahead","Bin","percent","11.7","11.8",0
"South Carolina","3 wk ahead","Bin","percent","11.8","11.9",0
"South Carolina","3 wk ahead","Bin","percent","11.9","12.0",0
"South Carolina","3 wk ahead","Bin","percent","12.0","12.1",0
"South Carolina","3 wk ahead","Bin","percent","12.1","12.2",0
"South Carolina","3 wk ahead","Bin","percent","12.2","12.3",0
"South Carolina","3 wk ahead","Bin","percent","12.3","12.4",0
"South Carolina","3 wk ahead","Bin","percent","12.4","12.5",0
"South Carolina","3 wk ahead","Bin","percent","12.5","12.6",0
"South Carolina","3 wk ahead","Bin","percent","12.6","12.7",0
"South Carolina","3 wk ahead","Bin","percent","12.7","12.8",0
"South Carolina","3 wk ahead","Bin","percent","12.8","12.9",0
"South Carolina","3 wk ahead","Bin","percent","12.9","13.0",0
"South Carolina","3 wk ahead","Bin","percent","13.0","100.0",0
"South Carolina","4 wk ahead","Point","percent",NA,NA,2.1
"South Carolina","4 wk ahead","Bin","percent","0.0","0.1",0
"South Carolina","4 wk ahead","Bin","percent","0.1","0.2",0
"South Carolina","4 wk ahead","Bin","percent","0.2","0.3",0
"South Carolina","4 wk ahead","Bin","percent","0.3","0.4",0
"South Carolina","4 wk ahead","Bin","percent","0.4","0.5",0
"South Carolina","4 wk ahead","Bin","percent","0.5","0.6",0
"South Carolina","4 wk ahead","Bin","percent","0.6","0.7",0
"South Carolina","4 wk ahead","Bin","percent","0.7","0.8",1e-04
"South Carolina","4 wk ahead","Bin","percent","0.8","0.9",2e-04
"South Carolina","4 wk ahead","Bin","percent","0.9","1.0",6e-04
"South Carolina","4 wk ahead","Bin","percent","1.0","1.1",0.0022
"South Carolina","4 wk ahead","Bin","percent","1.1","1.2",0.0067
"South Carolina","4 wk ahead","Bin","percent","1.2","1.3",0.0085
"South Carolina","4 wk ahead","Bin","percent","1.3","1.4",0.0146
"South Carolina","4 wk ahead","Bin","percent","1.4","1.5",0.0258
"South Carolina","4 wk ahead","Bin","percent","1.5","1.6",0.0309
"South Carolina","4 wk ahead","Bin","percent","1.6","1.7",0.0378
"South Carolina","4 wk ahead","Bin","percent","1.7","1.8",0.0639
"South Carolina","4 wk ahead","Bin","percent","1.8","1.9",0.0682
"South Carolina","4 wk ahead","Bin","percent","1.9","2.0",0.0728
"South Carolina","4 wk ahead","Bin","percent","2.0","2.1",0.091
"South Carolina","4 wk ahead","Bin","percent","2.1","2.2",0.0866
"South Carolina","4 wk ahead","Bin","percent","2.2","2.3",0.0895
"South Carolina","4 wk ahead","Bin","percent","2.3","2.4",0.0621
"South Carolina","4 wk ahead","Bin","percent","2.4","2.5",0.0729
"South Carolina","4 wk ahead","Bin","percent","2.5","2.6",0.0523
"South Carolina","4 wk ahead","Bin","percent","2.6","2.7",0.0447
"South Carolina","4 wk ahead","Bin","percent","2.7","2.8",0.0493
"South Carolina","4 wk ahead","Bin","percent","2.8","2.9",0.0312
"South Carolina","4 wk ahead","Bin","percent","2.9","3.0",0.0168
"South Carolina","4 wk ahead","Bin","percent","3.0","3.1",0.0109
"South Carolina","4 wk ahead","Bin","percent","3.1","3.2",0.001
"South Carolina","4 wk ahead","Bin","percent","3.2","3.3",0.0092
"South Carolina","4 wk ahead","Bin","percent","3.3","3.4",0.0183
"South Carolina","4 wk ahead","Bin","percent","3.4","3.5",0.0128
"South Carolina","4 wk ahead","Bin","percent","3.5","3.6",0.0122
"South Carolina","4 wk ahead","Bin","percent","3.6","3.7",0.0046
"South Carolina","4 wk ahead","Bin","percent","3.7","3.8",0.0021
"South Carolina","4 wk ahead","Bin","percent","3.8","3.9",2e-04
"South Carolina","4 wk ahead","Bin","percent","3.9","4.0",0
"South Carolina","4 wk ahead","Bin","percent","4.0","4.1",0
"South Carolina","4 wk ahead","Bin","percent","4.1","4.2",0
"South Carolina","4 wk ahead","Bin","percent","4.2","4.3",0
"South Carolina","4 wk ahead","Bin","percent","4.3","4.4",0
"South Carolina","4 wk ahead","Bin","percent","4.4","4.5",0
"South Carolina","4 wk ahead","Bin","percent","4.5","4.6",0
"South Carolina","4 wk ahead","Bin","percent","4.6","4.7",0
"South Carolina","4 wk ahead","Bin","percent","4.7","4.8",0
"South Carolina","4 wk ahead","Bin","percent","4.8","4.9",0
"South Carolina","4 wk ahead","Bin","percent","4.9","5.0",0
"South Carolina","4 wk ahead","Bin","percent","5.0","5.1",0
"South Carolina","4 wk ahead","Bin","percent","5.1","5.2",0
"South Carolina","4 wk ahead","Bin","percent","5.2","5.3",0
"South Carolina","4 wk ahead","Bin","percent","5.3","5.4",0
"South Carolina","4 wk ahead","Bin","percent","5.4","5.5",0
"South Carolina","4 wk ahead","Bin","percent","5.5","5.6",0
"South Carolina","4 wk ahead","Bin","percent","5.6","5.7",0
"South Carolina","4 wk ahead","Bin","percent","5.7","5.8",0
"South Carolina","4 wk ahead","Bin","percent","5.8","5.9",0
"South Carolina","4 wk ahead","Bin","percent","5.9","6.0",0
"South Carolina","4 wk ahead","Bin","percent","6.0","6.1",0
"South Carolina","4 wk ahead","Bin","percent","6.1","6.2",0
"South Carolina","4 wk ahead","Bin","percent","6.2","6.3",0
"South Carolina","4 wk ahead","Bin","percent","6.3","6.4",0
"South Carolina","4 wk ahead","Bin","percent","6.4","6.5",0
"South Carolina","4 wk ahead","Bin","percent","6.5","6.6",0
"South Carolina","4 wk ahead","Bin","percent","6.6","6.7",0
"South Carolina","4 wk ahead","Bin","percent","6.7","6.8",0
"South Carolina","4 wk ahead","Bin","percent","6.8","6.9",0
"South Carolina","4 wk ahead","Bin","percent","6.9","7.0",0
"South Carolina","4 wk ahead","Bin","percent","7.0","7.1",0
"South Carolina","4 wk ahead","Bin","percent","7.1","7.2",0
"South Carolina","4 wk ahead","Bin","percent","7.2","7.3",0
"South Carolina","4 wk ahead","Bin","percent","7.3","7.4",0
"South Carolina","4 wk ahead","Bin","percent","7.4","7.5",0
"South Carolina","4 wk ahead","Bin","percent","7.5","7.6",0
"South Carolina","4 wk ahead","Bin","percent","7.6","7.7",0
"South Carolina","4 wk ahead","Bin","percent","7.7","7.8",0
"South Carolina","4 wk ahead","Bin","percent","7.8","7.9",0
"South Carolina","4 wk ahead","Bin","percent","7.9","8.0",0
"South Carolina","4 wk ahead","Bin","percent","8.0","8.1",0
"South Carolina","4 wk ahead","Bin","percent","8.1","8.2",0
"South Carolina","4 wk ahead","Bin","percent","8.2","8.3",0
"South Carolina","4 wk ahead","Bin","percent","8.3","8.4",0
"South Carolina","4 wk ahead","Bin","percent","8.4","8.5",0
"South Carolina","4 wk ahead","Bin","percent","8.5","8.6",0
"South Carolina","4 wk ahead","Bin","percent","8.6","8.7",0
"South Carolina","4 wk ahead","Bin","percent","8.7","8.8",0
"South Carolina","4 wk ahead","Bin","percent","8.8","8.9",0
"South Carolina","4 wk ahead","Bin","percent","8.9","9.0",0
"South Carolina","4 wk ahead","Bin","percent","9.0","9.1",0
"South Carolina","4 wk ahead","Bin","percent","9.1","9.2",0
"South Carolina","4 wk ahead","Bin","percent","9.2","9.3",0
"South Carolina","4 wk ahead","Bin","percent","9.3","9.4",0
"South Carolina","4 wk ahead","Bin","percent","9.4","9.5",0
"South Carolina","4 wk ahead","Bin","percent","9.5","9.6",0
"South Carolina","4 wk ahead","Bin","percent","9.6","9.7",0
"South Carolina","4 wk ahead","Bin","percent","9.7","9.8",0
"South Carolina","4 wk ahead","Bin","percent","9.8","9.9",0
"South Carolina","4 wk ahead","Bin","percent","9.9","10.0",0
"South Carolina","4 wk ahead","Bin","percent","10.0","10.1",0
"South Carolina","4 wk ahead","Bin","percent","10.1","10.2",0
"South Carolina","4 wk ahead","Bin","percent","10.2","10.3",0
"South Carolina","4 wk ahead","Bin","percent","10.3","10.4",0
"South Carolina","4 wk ahead","Bin","percent","10.4","10.5",0
"South Carolina","4 wk ahead","Bin","percent","10.5","10.6",0
"South Carolina","4 wk ahead","Bin","percent","10.6","10.7",0
"South Carolina","4 wk ahead","Bin","percent","10.7","10.8",0
"South Carolina","4 wk ahead","Bin","percent","10.8","10.9",0
"South Carolina","4 wk ahead","Bin","percent","10.9","11.0",0
"South Carolina","4 wk ahead","Bin","percent","11.0","11.1",0
"South Carolina","4 wk ahead","Bin","percent","11.1","11.2",0
"South Carolina","4 wk ahead","Bin","percent","11.2","11.3",0
"South Carolina","4 wk ahead","Bin","percent","11.3","11.4",0
"South Carolina","4 wk ahead","Bin","percent","11.4","11.5",0
"South Carolina","4 wk ahead","Bin","percent","11.5","11.6",0
"South Carolina","4 wk ahead","Bin","percent","11.6","11.7",0
"South Carolina","4 wk ahead","Bin","percent","11.7","11.8",0
"South Carolina","4 wk ahead","Bin","percent","11.8","11.9",0
"South Carolina","4 wk ahead","Bin","percent","11.9","12.0",0
"South Carolina","4 wk ahead","Bin","percent","12.0","12.1",0
"South Carolina","4 wk ahead","Bin","percent","12.1","12.2",0
"South Carolina","4 wk ahead","Bin","percent","12.2","12.3",0
"South Carolina","4 wk ahead","Bin","percent","12.3","12.4",0
"South Carolina","4 wk ahead","Bin","percent","12.4","12.5",0
"South Carolina","4 wk ahead","Bin","percent","12.5","12.6",0
"South Carolina","4 wk ahead","Bin","percent","12.6","12.7",0
"South Carolina","4 wk ahead","Bin","percent","12.7","12.8",0
"South Carolina","4 wk ahead","Bin","percent","12.8","12.9",0
"South Carolina","4 wk ahead","Bin","percent","12.9","13.0",0
"South Carolina","4 wk ahead","Bin","percent","13.0","100.0",0
"South Dakota","1 wk ahead","Point","percent",NA,NA,2.7
"South Dakota","1 wk ahead","Bin","percent","0.0","0.1",0
"South Dakota","1 wk ahead","Bin","percent","0.1","0.2",0
"South Dakota","1 wk ahead","Bin","percent","0.2","0.3",0
"South Dakota","1 wk ahead","Bin","percent","0.3","0.4",0
"South Dakota","1 wk ahead","Bin","percent","0.4","0.5",0
"South Dakota","1 wk ahead","Bin","percent","0.5","0.6",0
"South Dakota","1 wk ahead","Bin","percent","0.6","0.7",0
"South Dakota","1 wk ahead","Bin","percent","0.7","0.8",0
"South Dakota","1 wk ahead","Bin","percent","0.8","0.9",0
"South Dakota","1 wk ahead","Bin","percent","0.9","1.0",0
"South Dakota","1 wk ahead","Bin","percent","1.0","1.1",0
"South Dakota","1 wk ahead","Bin","percent","1.1","1.2",0
"South Dakota","1 wk ahead","Bin","percent","1.2","1.3",0
"South Dakota","1 wk ahead","Bin","percent","1.3","1.4",0.001
"South Dakota","1 wk ahead","Bin","percent","1.4","1.5",0.0031
"South Dakota","1 wk ahead","Bin","percent","1.5","1.6",0.0077
"South Dakota","1 wk ahead","Bin","percent","1.6","1.7",0.0148
"South Dakota","1 wk ahead","Bin","percent","1.7","1.8",0.0174
"South Dakota","1 wk ahead","Bin","percent","1.8","1.9",0.0229
"South Dakota","1 wk ahead","Bin","percent","1.9","2.0",0.0317
"South Dakota","1 wk ahead","Bin","percent","2.0","2.1",0.0346
"South Dakota","1 wk ahead","Bin","percent","2.1","2.2",0.0427
"South Dakota","1 wk ahead","Bin","percent","2.2","2.3",0.0468
"South Dakota","1 wk ahead","Bin","percent","2.3","2.4",0.0502
"South Dakota","1 wk ahead","Bin","percent","2.4","2.5",0.0554
"South Dakota","1 wk ahead","Bin","percent","2.5","2.6",0.0549
"South Dakota","1 wk ahead","Bin","percent","2.6","2.7",0.0566
"South Dakota","1 wk ahead","Bin","percent","2.7","2.8",0.0623
"South Dakota","1 wk ahead","Bin","percent","2.8","2.9",0.0588
"South Dakota","1 wk ahead","Bin","percent","2.9","3.0",0.0545
"South Dakota","1 wk ahead","Bin","percent","3.0","3.1",0.0553
"South Dakota","1 wk ahead","Bin","percent","3.1","3.2",0.0507
"South Dakota","1 wk ahead","Bin","percent","3.2","3.3",0.0454
"South Dakota","1 wk ahead","Bin","percent","3.3","3.4",0.0374
"South Dakota","1 wk ahead","Bin","percent","3.4","3.5",0.0305
"South Dakota","1 wk ahead","Bin","percent","3.5","3.6",0.0284
"South Dakota","1 wk ahead","Bin","percent","3.6","3.7",0.0251
"South Dakota","1 wk ahead","Bin","percent","3.7","3.8",0.0221
"South Dakota","1 wk ahead","Bin","percent","3.8","3.9",0.0176
"South Dakota","1 wk ahead","Bin","percent","3.9","4.0",0.0156
"South Dakota","1 wk ahead","Bin","percent","4.0","4.1",0.0112
"South Dakota","1 wk ahead","Bin","percent","4.1","4.2",0.0096
"South Dakota","1 wk ahead","Bin","percent","4.2","4.3",0.009
"South Dakota","1 wk ahead","Bin","percent","4.3","4.4",0.0072
"South Dakota","1 wk ahead","Bin","percent","4.4","4.5",0.0057
"South Dakota","1 wk ahead","Bin","percent","4.5","4.6",0.0049
"South Dakota","1 wk ahead","Bin","percent","4.6","4.7",0.0031
"South Dakota","1 wk ahead","Bin","percent","4.7","4.8",0.0025
"South Dakota","1 wk ahead","Bin","percent","4.8","4.9",0.0016
"South Dakota","1 wk ahead","Bin","percent","4.9","5.0",0.001
"South Dakota","1 wk ahead","Bin","percent","5.0","5.1",5e-04
"South Dakota","1 wk ahead","Bin","percent","5.1","5.2",0
"South Dakota","1 wk ahead","Bin","percent","5.2","5.3",2e-04
"South Dakota","1 wk ahead","Bin","percent","5.3","5.4",0
"South Dakota","1 wk ahead","Bin","percent","5.4","5.5",0
"South Dakota","1 wk ahead","Bin","percent","5.5","5.6",0
"South Dakota","1 wk ahead","Bin","percent","5.6","5.7",0
"South Dakota","1 wk ahead","Bin","percent","5.7","5.8",0
"South Dakota","1 wk ahead","Bin","percent","5.8","5.9",0
"South Dakota","1 wk ahead","Bin","percent","5.9","6.0",0
"South Dakota","1 wk ahead","Bin","percent","6.0","6.1",0
"South Dakota","1 wk ahead","Bin","percent","6.1","6.2",0
"South Dakota","1 wk ahead","Bin","percent","6.2","6.3",0
"South Dakota","1 wk ahead","Bin","percent","6.3","6.4",0
"South Dakota","1 wk ahead","Bin","percent","6.4","6.5",0
"South Dakota","1 wk ahead","Bin","percent","6.5","6.6",0
"South Dakota","1 wk ahead","Bin","percent","6.6","6.7",0
"South Dakota","1 wk ahead","Bin","percent","6.7","6.8",0
"South Dakota","1 wk ahead","Bin","percent","6.8","6.9",0
"South Dakota","1 wk ahead","Bin","percent","6.9","7.0",0
"South Dakota","1 wk ahead","Bin","percent","7.0","7.1",0
"South Dakota","1 wk ahead","Bin","percent","7.1","7.2",0
"South Dakota","1 wk ahead","Bin","percent","7.2","7.3",0
"South Dakota","1 wk ahead","Bin","percent","7.3","7.4",0
"South Dakota","1 wk ahead","Bin","percent","7.4","7.5",0
"South Dakota","1 wk ahead","Bin","percent","7.5","7.6",0
"South Dakota","1 wk ahead","Bin","percent","7.6","7.7",0
"South Dakota","1 wk ahead","Bin","percent","7.7","7.8",0
"South Dakota","1 wk ahead","Bin","percent","7.8","7.9",0
"South Dakota","1 wk ahead","Bin","percent","7.9","8.0",0
"South Dakota","1 wk ahead","Bin","percent","8.0","8.1",0
"South Dakota","1 wk ahead","Bin","percent","8.1","8.2",0
"South Dakota","1 wk ahead","Bin","percent","8.2","8.3",0
"South Dakota","1 wk ahead","Bin","percent","8.3","8.4",0
"South Dakota","1 wk ahead","Bin","percent","8.4","8.5",0
"South Dakota","1 wk ahead","Bin","percent","8.5","8.6",0
"South Dakota","1 wk ahead","Bin","percent","8.6","8.7",0
"South Dakota","1 wk ahead","Bin","percent","8.7","8.8",0
"South Dakota","1 wk ahead","Bin","percent","8.8","8.9",0
"South Dakota","1 wk ahead","Bin","percent","8.9","9.0",0
"South Dakota","1 wk ahead","Bin","percent","9.0","9.1",0
"South Dakota","1 wk ahead","Bin","percent","9.1","9.2",0
"South Dakota","1 wk ahead","Bin","percent","9.2","9.3",0
"South Dakota","1 wk ahead","Bin","percent","9.3","9.4",0
"South Dakota","1 wk ahead","Bin","percent","9.4","9.5",0
"South Dakota","1 wk ahead","Bin","percent","9.5","9.6",0
"South Dakota","1 wk ahead","Bin","percent","9.6","9.7",0
"South Dakota","1 wk ahead","Bin","percent","9.7","9.8",0
"South Dakota","1 wk ahead","Bin","percent","9.8","9.9",0
"South Dakota","1 wk ahead","Bin","percent","9.9","10.0",0
"South Dakota","1 wk ahead","Bin","percent","10.0","10.1",0
"South Dakota","1 wk ahead","Bin","percent","10.1","10.2",0
"South Dakota","1 wk ahead","Bin","percent","10.2","10.3",0
"South Dakota","1 wk ahead","Bin","percent","10.3","10.4",0
"South Dakota","1 wk ahead","Bin","percent","10.4","10.5",0
"South Dakota","1 wk ahead","Bin","percent","10.5","10.6",0
"South Dakota","1 wk ahead","Bin","percent","10.6","10.7",0
"South Dakota","1 wk ahead","Bin","percent","10.7","10.8",0
"South Dakota","1 wk ahead","Bin","percent","10.8","10.9",0
"South Dakota","1 wk ahead","Bin","percent","10.9","11.0",0
"South Dakota","1 wk ahead","Bin","percent","11.0","11.1",0
"South Dakota","1 wk ahead","Bin","percent","11.1","11.2",0
"South Dakota","1 wk ahead","Bin","percent","11.2","11.3",0
"South Dakota","1 wk ahead","Bin","percent","11.3","11.4",0
"South Dakota","1 wk ahead","Bin","percent","11.4","11.5",0
"South Dakota","1 wk ahead","Bin","percent","11.5","11.6",0
"South Dakota","1 wk ahead","Bin","percent","11.6","11.7",0
"South Dakota","1 wk ahead","Bin","percent","11.7","11.8",0
"South Dakota","1 wk ahead","Bin","percent","11.8","11.9",0
"South Dakota","1 wk ahead","Bin","percent","11.9","12.0",0
"South Dakota","1 wk ahead","Bin","percent","12.0","12.1",0
"South Dakota","1 wk ahead","Bin","percent","12.1","12.2",0
"South Dakota","1 wk ahead","Bin","percent","12.2","12.3",0
"South Dakota","1 wk ahead","Bin","percent","12.3","12.4",0
"South Dakota","1 wk ahead","Bin","percent","12.4","12.5",0
"South Dakota","1 wk ahead","Bin","percent","12.5","12.6",0
"South Dakota","1 wk ahead","Bin","percent","12.6","12.7",0
"South Dakota","1 wk ahead","Bin","percent","12.7","12.8",0
"South Dakota","1 wk ahead","Bin","percent","12.8","12.9",0
"South Dakota","1 wk ahead","Bin","percent","12.9","13.0",0
"South Dakota","1 wk ahead","Bin","percent","13.0","100.0",0
"South Dakota","2 wk ahead","Point","percent",NA,NA,2.6
"South Dakota","2 wk ahead","Bin","percent","0.0","0.1",0
"South Dakota","2 wk ahead","Bin","percent","0.1","0.2",0
"South Dakota","2 wk ahead","Bin","percent","0.2","0.3",0
"South Dakota","2 wk ahead","Bin","percent","0.3","0.4",0
"South Dakota","2 wk ahead","Bin","percent","0.4","0.5",0
"South Dakota","2 wk ahead","Bin","percent","0.5","0.6",0
"South Dakota","2 wk ahead","Bin","percent","0.6","0.7",0
"South Dakota","2 wk ahead","Bin","percent","0.7","0.8",5e-04
"South Dakota","2 wk ahead","Bin","percent","0.8","0.9",0.0025
"South Dakota","2 wk ahead","Bin","percent","0.9","1.0",0.0046
"South Dakota","2 wk ahead","Bin","percent","1.0","1.1",0.0059
"South Dakota","2 wk ahead","Bin","percent","1.1","1.2",0.0076
"South Dakota","2 wk ahead","Bin","percent","1.2","1.3",0.0108
"South Dakota","2 wk ahead","Bin","percent","1.3","1.4",0.0126
"South Dakota","2 wk ahead","Bin","percent","1.4","1.5",0.016
"South Dakota","2 wk ahead","Bin","percent","1.5","1.6",0.0154
"South Dakota","2 wk ahead","Bin","percent","1.6","1.7",0.0172
"South Dakota","2 wk ahead","Bin","percent","1.7","1.8",0.0225
"South Dakota","2 wk ahead","Bin","percent","1.8","1.9",0.0284
"South Dakota","2 wk ahead","Bin","percent","1.9","2.0",0.034
"South Dakota","2 wk ahead","Bin","percent","2.0","2.1",0.038
"South Dakota","2 wk ahead","Bin","percent","2.1","2.2",0.0443
"South Dakota","2 wk ahead","Bin","percent","2.2","2.3",0.0467
"South Dakota","2 wk ahead","Bin","percent","2.3","2.4",0.0502
"South Dakota","2 wk ahead","Bin","percent","2.4","2.5",0.0466
"South Dakota","2 wk ahead","Bin","percent","2.5","2.6",0.0489
"South Dakota","2 wk ahead","Bin","percent","2.6","2.7",0.0488
"South Dakota","2 wk ahead","Bin","percent","2.7","2.8",0.0491
