"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Tennessee","1 wk ahead","Bin","percent","5.0","5.1",3e-04
"Tennessee","1 wk ahead","Bin","percent","5.1","5.2",1e-04
"Tennessee","1 wk ahead","Bin","percent","5.2","5.3",0
"Tennessee","1 wk ahead","Bin","percent","5.3","5.4",1e-04
"Tennessee","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"Tennessee","1 wk ahead","Bin","percent","5.5","5.6",0
"Tennessee","1 wk ahead","Bin","percent","5.6","5.7",1e-04
"Tennessee","1 wk ahead","Bin","percent","5.7","5.8",1e-04
"Tennessee","1 wk ahead","Bin","percent","5.8","5.9",0
"Tennessee","1 wk ahead","Bin","percent","5.9","6.0",1e-04
"Tennessee","1 wk ahead","Bin","percent","6.0","6.1",0
"Tennessee","1 wk ahead","Bin","percent","6.1","6.2",0
"Tennessee","1 wk ahead","Bin","percent","6.2","6.3",1e-04
"Tennessee","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"Tennessee","1 wk ahead","Bin","percent","6.4","6.5",0
"Tennessee","1 wk ahead","Bin","percent","6.5","6.6",0
"Tennessee","1 wk ahead","Bin","percent","6.6","6.7",1e-04
"Tennessee","1 wk ahead","Bin","percent","6.7","6.8",1e-04
"Tennessee","1 wk ahead","Bin","percent","6.8","6.9",0
"Tennessee","1 wk ahead","Bin","percent","6.9","7.0",0
"Tennessee","1 wk ahead","Bin","percent","7.0","7.1",0
"Tennessee","1 wk ahead","Bin","percent","7.1","7.2",0
"Tennessee","1 wk ahead","Bin","percent","7.2","7.3",0
"Tennessee","1 wk ahead","Bin","percent","7.3","7.4",1e-04
"Tennessee","1 wk ahead","Bin","percent","7.4","7.5",0
"Tennessee","1 wk ahead","Bin","percent","7.5","7.6",1e-04
"Tennessee","1 wk ahead","Bin","percent","7.6","7.7",0
"Tennessee","1 wk ahead","Bin","percent","7.7","7.8",3e-04
"Tennessee","1 wk ahead","Bin","percent","7.8","7.9",0
"Tennessee","1 wk ahead","Bin","percent","7.9","8.0",0
"Tennessee","1 wk ahead","Bin","percent","8.0","8.1",0
"Tennessee","1 wk ahead","Bin","percent","8.1","8.2",1e-04
"Tennessee","1 wk ahead","Bin","percent","8.2","8.3",0
"Tennessee","1 wk ahead","Bin","percent","8.3","8.4",3e-04
"Tennessee","1 wk ahead","Bin","percent","8.4","8.5",2e-04
"Tennessee","1 wk ahead","Bin","percent","8.5","8.6",0
"Tennessee","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"Tennessee","1 wk ahead","Bin","percent","8.7","8.8",1e-04
"Tennessee","1 wk ahead","Bin","percent","8.8","8.9",0
"Tennessee","1 wk ahead","Bin","percent","8.9","9.0",0
"Tennessee","1 wk ahead","Bin","percent","9.0","9.1",0
"Tennessee","1 wk ahead","Bin","percent","9.1","9.2",3e-04
"Tennessee","1 wk ahead","Bin","percent","9.2","9.3",3e-04
"Tennessee","1 wk ahead","Bin","percent","9.3","9.4",0
"Tennessee","1 wk ahead","Bin","percent","9.4","9.5",0
"Tennessee","1 wk ahead","Bin","percent","9.5","9.6",0
"Tennessee","1 wk ahead","Bin","percent","9.6","9.7",3e-04
"Tennessee","1 wk ahead","Bin","percent","9.7","9.8",1e-04
"Tennessee","1 wk ahead","Bin","percent","9.8","9.9",0
"Tennessee","1 wk ahead","Bin","percent","9.9","10.0",0
"Tennessee","1 wk ahead","Bin","percent","10.0","10.1",0
"Tennessee","1 wk ahead","Bin","percent","10.1","10.2",0
"Tennessee","1 wk ahead","Bin","percent","10.2","10.3",0
"Tennessee","1 wk ahead","Bin","percent","10.3","10.4",0
"Tennessee","1 wk ahead","Bin","percent","10.4","10.5",0
"Tennessee","1 wk ahead","Bin","percent","10.5","10.6",1e-04
"Tennessee","1 wk ahead","Bin","percent","10.6","10.7",0
"Tennessee","1 wk ahead","Bin","percent","10.7","10.8",0
"Tennessee","1 wk ahead","Bin","percent","10.8","10.9",2e-04
"Tennessee","1 wk ahead","Bin","percent","10.9","11.0",1e-04
"Tennessee","1 wk ahead","Bin","percent","11.0","11.1",0
"Tennessee","1 wk ahead","Bin","percent","11.1","11.2",1e-04
"Tennessee","1 wk ahead","Bin","percent","11.2","11.3",0
"Tennessee","1 wk ahead","Bin","percent","11.3","11.4",0
"Tennessee","1 wk ahead","Bin","percent","11.4","11.5",0
"Tennessee","1 wk ahead","Bin","percent","11.5","11.6",2e-04
"Tennessee","1 wk ahead","Bin","percent","11.6","11.7",0
"Tennessee","1 wk ahead","Bin","percent","11.7","11.8",2e-04
"Tennessee","1 wk ahead","Bin","percent","11.8","11.9",2e-04
"Tennessee","1 wk ahead","Bin","percent","11.9","12.0",0
"Tennessee","1 wk ahead","Bin","percent","12.0","12.1",1e-04
"Tennessee","1 wk ahead","Bin","percent","12.1","12.2",1e-04
"Tennessee","1 wk ahead","Bin","percent","12.2","12.3",1e-04
"Tennessee","1 wk ahead","Bin","percent","12.3","12.4",0
"Tennessee","1 wk ahead","Bin","percent","12.4","12.5",0
"Tennessee","1 wk ahead","Bin","percent","12.5","12.6",1e-04
"Tennessee","1 wk ahead","Bin","percent","12.6","12.7",0
"Tennessee","1 wk ahead","Bin","percent","12.7","12.8",0
"Tennessee","1 wk ahead","Bin","percent","12.8","12.9",2e-04
"Tennessee","1 wk ahead","Bin","percent","12.9","13.0",0
"Tennessee","1 wk ahead","Bin","percent","13.0","100.0",4e-04
"Tennessee","2 wk ahead","Point","percent",NA,NA,1.4
"Tennessee","2 wk ahead","Bin","percent","0.0","0.1",0
"Tennessee","2 wk ahead","Bin","percent","0.1","0.2",0.003
"Tennessee","2 wk ahead","Bin","percent","0.2","0.3",0.0065
"Tennessee","2 wk ahead","Bin","percent","0.3","0.4",0.0082
"Tennessee","2 wk ahead","Bin","percent","0.4","0.5",0.0137
"Tennessee","2 wk ahead","Bin","percent","0.5","0.6",0.0216
"Tennessee","2 wk ahead","Bin","percent","0.6","0.7",0.0308
"Tennessee","2 wk ahead","Bin","percent","0.7","0.8",0.0423
"Tennessee","2 wk ahead","Bin","percent","0.8","0.9",0.0499
"Tennessee","2 wk ahead","Bin","percent","0.9","1.0",0.055
"Tennessee","2 wk ahead","Bin","percent","1.0","1.1",0.0613
"Tennessee","2 wk ahead","Bin","percent","1.1","1.2",0.0678
"Tennessee","2 wk ahead","Bin","percent","1.2","1.3",0.0608
"Tennessee","2 wk ahead","Bin","percent","1.3","1.4",0.0622
"Tennessee","2 wk ahead","Bin","percent","1.4","1.5",0.0567
"Tennessee","2 wk ahead","Bin","percent","1.5","1.6",0.0561
"Tennessee","2 wk ahead","Bin","percent","1.6","1.7",0.0567
"Tennessee","2 wk ahead","Bin","percent","1.7","1.8",0.0526
"Tennessee","2 wk ahead","Bin","percent","1.8","1.9",0.0445
"Tennessee","2 wk ahead","Bin","percent","1.9","2.0",0.0393
"Tennessee","2 wk ahead","Bin","percent","2.0","2.1",0.0306
"Tennessee","2 wk ahead","Bin","percent","2.1","2.2",0.0248
"Tennessee","2 wk ahead","Bin","percent","2.2","2.3",0.0176
"Tennessee","2 wk ahead","Bin","percent","2.3","2.4",0.0149
"Tennessee","2 wk ahead","Bin","percent","2.4","2.5",0.015
"Tennessee","2 wk ahead","Bin","percent","2.5","2.6",0.012
"Tennessee","2 wk ahead","Bin","percent","2.6","2.7",0.0127
"Tennessee","2 wk ahead","Bin","percent","2.7","2.8",0.0109
"Tennessee","2 wk ahead","Bin","percent","2.8","2.9",0.0089
"Tennessee","2 wk ahead","Bin","percent","2.9","3.0",0.0085
"Tennessee","2 wk ahead","Bin","percent","3.0","3.1",0.0082
"Tennessee","2 wk ahead","Bin","percent","3.1","3.2",0.0062
"Tennessee","2 wk ahead","Bin","percent","3.2","3.3",0.0053
"Tennessee","2 wk ahead","Bin","percent","3.3","3.4",0.0047
"Tennessee","2 wk ahead","Bin","percent","3.4","3.5",0.0032
"Tennessee","2 wk ahead","Bin","percent","3.5","3.6",0.0027
"Tennessee","2 wk ahead","Bin","percent","3.6","3.7",0.0017
"Tennessee","2 wk ahead","Bin","percent","3.7","3.8",0.0013
"Tennessee","2 wk ahead","Bin","percent","3.8","3.9",0.0018
"Tennessee","2 wk ahead","Bin","percent","3.9","4.0",8e-04
"Tennessee","2 wk ahead","Bin","percent","4.0","4.1",4e-04
"Tennessee","2 wk ahead","Bin","percent","4.1","4.2",8e-04
"Tennessee","2 wk ahead","Bin","percent","4.2","4.3",9e-04
"Tennessee","2 wk ahead","Bin","percent","4.3","4.4",3e-04
"Tennessee","2 wk ahead","Bin","percent","4.4","4.5",5e-04
"Tennessee","2 wk ahead","Bin","percent","4.5","4.6",5e-04
"Tennessee","2 wk ahead","Bin","percent","4.6","4.7",2e-04
"Tennessee","2 wk ahead","Bin","percent","4.7","4.8",4e-04
"Tennessee","2 wk ahead","Bin","percent","4.8","4.9",3e-04
"Tennessee","2 wk ahead","Bin","percent","4.9","5.0",3e-04
"Tennessee","2 wk ahead","Bin","percent","5.0","5.1",2e-04
"Tennessee","2 wk ahead","Bin","percent","5.1","5.2",1e-04
"Tennessee","2 wk ahead","Bin","percent","5.2","5.3",2e-04
"Tennessee","2 wk ahead","Bin","percent","5.3","5.4",4e-04
"Tennessee","2 wk ahead","Bin","percent","5.4","5.5",0
"Tennessee","2 wk ahead","Bin","percent","5.5","5.6",2e-04
"Tennessee","2 wk ahead","Bin","percent","5.6","5.7",6e-04
"Tennessee","2 wk ahead","Bin","percent","5.7","5.8",1e-04
"Tennessee","2 wk ahead","Bin","percent","5.8","5.9",3e-04
"Tennessee","2 wk ahead","Bin","percent","5.9","6.0",2e-04
"Tennessee","2 wk ahead","Bin","percent","6.0","6.1",1e-04
"Tennessee","2 wk ahead","Bin","percent","6.1","6.2",1e-04
"Tennessee","2 wk ahead","Bin","percent","6.2","6.3",4e-04
"Tennessee","2 wk ahead","Bin","percent","6.3","6.4",4e-04
"Tennessee","2 wk ahead","Bin","percent","6.4","6.5",2e-04
"Tennessee","2 wk ahead","Bin","percent","6.5","6.6",2e-04
"Tennessee","2 wk ahead","Bin","percent","6.6","6.7",2e-04
"Tennessee","2 wk ahead","Bin","percent","6.7","6.8",1e-04
"Tennessee","2 wk ahead","Bin","percent","6.8","6.9",1e-04
"Tennessee","2 wk ahead","Bin","percent","6.9","7.0",2e-04
"Tennessee","2 wk ahead","Bin","percent","7.0","7.1",0
"Tennessee","2 wk ahead","Bin","percent","7.1","7.2",2e-04
"Tennessee","2 wk ahead","Bin","percent","7.2","7.3",3e-04
"Tennessee","2 wk ahead","Bin","percent","7.3","7.4",0
"Tennessee","2 wk ahead","Bin","percent","7.4","7.5",0
"Tennessee","2 wk ahead","Bin","percent","7.5","7.6",1e-04
"Tennessee","2 wk ahead","Bin","percent","7.6","7.7",3e-04
"Tennessee","2 wk ahead","Bin","percent","7.7","7.8",3e-04
"Tennessee","2 wk ahead","Bin","percent","7.8","7.9",1e-04
"Tennessee","2 wk ahead","Bin","percent","7.9","8.0",3e-04
"Tennessee","2 wk ahead","Bin","percent","8.0","8.1",1e-04
"Tennessee","2 wk ahead","Bin","percent","8.1","8.2",1e-04
"Tennessee","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"Tennessee","2 wk ahead","Bin","percent","8.3","8.4",2e-04
"Tennessee","2 wk ahead","Bin","percent","8.4","8.5",3e-04
"Tennessee","2 wk ahead","Bin","percent","8.5","8.6",0
"Tennessee","2 wk ahead","Bin","percent","8.6","8.7",1e-04
"Tennessee","2 wk ahead","Bin","percent","8.7","8.8",2e-04
"Tennessee","2 wk ahead","Bin","percent","8.8","8.9",2e-04
"Tennessee","2 wk ahead","Bin","percent","8.9","9.0",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.0","9.1",3e-04
"Tennessee","2 wk ahead","Bin","percent","9.1","9.2",2e-04
"Tennessee","2 wk ahead","Bin","percent","9.2","9.3",3e-04
"Tennessee","2 wk ahead","Bin","percent","9.3","9.4",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.4","9.5",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.5","9.6",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.6","9.7",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.7","9.8",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.8","9.9",1e-04
"Tennessee","2 wk ahead","Bin","percent","9.9","10.0",4e-04
"Tennessee","2 wk ahead","Bin","percent","10.0","10.1",3e-04
"Tennessee","2 wk ahead","Bin","percent","10.1","10.2",1e-04
"Tennessee","2 wk ahead","Bin","percent","10.2","10.3",6e-04
"Tennessee","2 wk ahead","Bin","percent","10.3","10.4",3e-04
"Tennessee","2 wk ahead","Bin","percent","10.4","10.5",3e-04
"Tennessee","2 wk ahead","Bin","percent","10.5","10.6",4e-04
"Tennessee","2 wk ahead","Bin","percent","10.6","10.7",3e-04
"Tennessee","2 wk ahead","Bin","percent","10.7","10.8",2e-04
"Tennessee","2 wk ahead","Bin","percent","10.8","10.9",0
"Tennessee","2 wk ahead","Bin","percent","10.9","11.0",1e-04
"Tennessee","2 wk ahead","Bin","percent","11.0","11.1",1e-04
"Tennessee","2 wk ahead","Bin","percent","11.1","11.2",1e-04
"Tennessee","2 wk ahead","Bin","percent","11.2","11.3",1e-04
"Tennessee","2 wk ahead","Bin","percent","11.3","11.4",1e-04
"Tennessee","2 wk ahead","Bin","percent","11.4","11.5",2e-04
"Tennessee","2 wk ahead","Bin","percent","11.5","11.6",2e-04
"Tennessee","2 wk ahead","Bin","percent","11.6","11.7",0
"Tennessee","2 wk ahead","Bin","percent","11.7","11.8",2e-04
"Tennessee","2 wk ahead","Bin","percent","11.8","11.9",3e-04
"Tennessee","2 wk ahead","Bin","percent","11.9","12.0",2e-04
"Tennessee","2 wk ahead","Bin","percent","12.0","12.1",0
"Tennessee","2 wk ahead","Bin","percent","12.1","12.2",0
"Tennessee","2 wk ahead","Bin","percent","12.2","12.3",3e-04
"Tennessee","2 wk ahead","Bin","percent","12.3","12.4",0
"Tennessee","2 wk ahead","Bin","percent","12.4","12.5",2e-04
"Tennessee","2 wk ahead","Bin","percent","12.5","12.6",3e-04
"Tennessee","2 wk ahead","Bin","percent","12.6","12.7",0
"Tennessee","2 wk ahead","Bin","percent","12.7","12.8",1e-04
"Tennessee","2 wk ahead","Bin","percent","12.8","12.9",0
"Tennessee","2 wk ahead","Bin","percent","12.9","13.0",1e-04
"Tennessee","2 wk ahead","Bin","percent","13.0","100.0",3e-04
"Tennessee","3 wk ahead","Point","percent",NA,NA,0.8
"Tennessee","3 wk ahead","Bin","percent","0.0","0.1",0
"Tennessee","3 wk ahead","Bin","percent","0.1","0.2",0.0044
"Tennessee","3 wk ahead","Bin","percent","0.2","0.3",0.0057
"Tennessee","3 wk ahead","Bin","percent","0.3","0.4",0.0099
"Tennessee","3 wk ahead","Bin","percent","0.4","0.5",0.0387
"Tennessee","3 wk ahead","Bin","percent","0.5","0.6",0.0784
"Tennessee","3 wk ahead","Bin","percent","0.6","0.7",0.1135
"Tennessee","3 wk ahead","Bin","percent","0.7","0.8",0.125
"Tennessee","3 wk ahead","Bin","percent","0.8","0.9",0.1355
"Tennessee","3 wk ahead","Bin","percent","0.9","1.0",0.1126
"Tennessee","3 wk ahead","Bin","percent","1.0","1.1",0.0787
"Tennessee","3 wk ahead","Bin","percent","1.1","1.2",0.052
"Tennessee","3 wk ahead","Bin","percent","1.2","1.3",0.0373
"Tennessee","3 wk ahead","Bin","percent","1.3","1.4",0.0269
"Tennessee","3 wk ahead","Bin","percent","1.4","1.5",0.0252
"Tennessee","3 wk ahead","Bin","percent","1.5","1.6",0.0247
"Tennessee","3 wk ahead","Bin","percent","1.6","1.7",0.016
"Tennessee","3 wk ahead","Bin","percent","1.7","1.8",0.0175
"Tennessee","3 wk ahead","Bin","percent","1.8","1.9",0.0103
"Tennessee","3 wk ahead","Bin","percent","1.9","2.0",0.0102
"Tennessee","3 wk ahead","Bin","percent","2.0","2.1",0.0083
"Tennessee","3 wk ahead","Bin","percent","2.1","2.2",0.0076
"Tennessee","3 wk ahead","Bin","percent","2.2","2.3",0.0066
"Tennessee","3 wk ahead","Bin","percent","2.3","2.4",0.0084
"Tennessee","3 wk ahead","Bin","percent","2.4","2.5",0.0049
"Tennessee","3 wk ahead","Bin","percent","2.5","2.6",0.0051
"Tennessee","3 wk ahead","Bin","percent","2.6","2.7",0.0032
"Tennessee","3 wk ahead","Bin","percent","2.7","2.8",0.0025
"Tennessee","3 wk ahead","Bin","percent","2.8","2.9",0.0026
"Tennessee","3 wk ahead","Bin","percent","2.9","3.0",0.0027
"Tennessee","3 wk ahead","Bin","percent","3.0","3.1",0.002
"Tennessee","3 wk ahead","Bin","percent","3.1","3.2",0.0017
"Tennessee","3 wk ahead","Bin","percent","3.2","3.3",0.0018
"Tennessee","3 wk ahead","Bin","percent","3.3","3.4",0.0013
"Tennessee","3 wk ahead","Bin","percent","3.4","3.5",6e-04
"Tennessee","3 wk ahead","Bin","percent","3.5","3.6",0.0012
"Tennessee","3 wk ahead","Bin","percent","3.6","3.7",9e-04
"Tennessee","3 wk ahead","Bin","percent","3.7","3.8",6e-04
"Tennessee","3 wk ahead","Bin","percent","3.8","3.9",6e-04
"Tennessee","3 wk ahead","Bin","percent","3.9","4.0",0.001
"Tennessee","3 wk ahead","Bin","percent","4.0","4.1",4e-04
"Tennessee","3 wk ahead","Bin","percent","4.1","4.2",8e-04
"Tennessee","3 wk ahead","Bin","percent","4.2","4.3",3e-04
"Tennessee","3 wk ahead","Bin","percent","4.3","4.4",4e-04
"Tennessee","3 wk ahead","Bin","percent","4.4","4.5",7e-04
"Tennessee","3 wk ahead","Bin","percent","4.5","4.6",1e-04
"Tennessee","3 wk ahead","Bin","percent","4.6","4.7",6e-04
"Tennessee","3 wk ahead","Bin","percent","4.7","4.8",5e-04
"Tennessee","3 wk ahead","Bin","percent","4.8","4.9",1e-04
"Tennessee","3 wk ahead","Bin","percent","4.9","5.0",0
"Tennessee","3 wk ahead","Bin","percent","5.0","5.1",1e-04
"Tennessee","3 wk ahead","Bin","percent","5.1","5.2",3e-04
"Tennessee","3 wk ahead","Bin","percent","5.2","5.3",2e-04
"Tennessee","3 wk ahead","Bin","percent","5.3","5.4",2e-04
"Tennessee","3 wk ahead","Bin","percent","5.4","5.5",3e-04
"Tennessee","3 wk ahead","Bin","percent","5.5","5.6",0
"Tennessee","3 wk ahead","Bin","percent","5.6","5.7",6e-04
"Tennessee","3 wk ahead","Bin","percent","5.7","5.8",0
"Tennessee","3 wk ahead","Bin","percent","5.8","5.9",0
"Tennessee","3 wk ahead","Bin","percent","5.9","6.0",5e-04
"Tennessee","3 wk ahead","Bin","percent","6.0","6.1",4e-04
"Tennessee","3 wk ahead","Bin","percent","6.1","6.2",1e-04
"Tennessee","3 wk ahead","Bin","percent","6.2","6.3",1e-04
"Tennessee","3 wk ahead","Bin","percent","6.3","6.4",2e-04
"Tennessee","3 wk ahead","Bin","percent","6.4","6.5",4e-04
"Tennessee","3 wk ahead","Bin","percent","6.5","6.6",0
"Tennessee","3 wk ahead","Bin","percent","6.6","6.7",1e-04
"Tennessee","3 wk ahead","Bin","percent","6.7","6.8",6e-04
"Tennessee","3 wk ahead","Bin","percent","6.8","6.9",1e-04
"Tennessee","3 wk ahead","Bin","percent","6.9","7.0",0
"Tennessee","3 wk ahead","Bin","percent","7.0","7.1",0
"Tennessee","3 wk ahead","Bin","percent","7.1","7.2",2e-04
"Tennessee","3 wk ahead","Bin","percent","7.2","7.3",0
"Tennessee","3 wk ahead","Bin","percent","7.3","7.4",3e-04
"Tennessee","3 wk ahead","Bin","percent","7.4","7.5",2e-04
"Tennessee","3 wk ahead","Bin","percent","7.5","7.6",0
"Tennessee","3 wk ahead","Bin","percent","7.6","7.7",2e-04
"Tennessee","3 wk ahead","Bin","percent","7.7","7.8",1e-04
"Tennessee","3 wk ahead","Bin","percent","7.8","7.9",0
"Tennessee","3 wk ahead","Bin","percent","7.9","8.0",1e-04
"Tennessee","3 wk ahead","Bin","percent","8.0","8.1",2e-04
"Tennessee","3 wk ahead","Bin","percent","8.1","8.2",1e-04
"Tennessee","3 wk ahead","Bin","percent","8.2","8.3",0
"Tennessee","3 wk ahead","Bin","percent","8.3","8.4",0
"Tennessee","3 wk ahead","Bin","percent","8.4","8.5",3e-04
"Tennessee","3 wk ahead","Bin","percent","8.5","8.6",1e-04
"Tennessee","3 wk ahead","Bin","percent","8.6","8.7",1e-04
"Tennessee","3 wk ahead","Bin","percent","8.7","8.8",2e-04
"Tennessee","3 wk ahead","Bin","percent","8.8","8.9",0
"Tennessee","3 wk ahead","Bin","percent","8.9","9.0",0
"Tennessee","3 wk ahead","Bin","percent","9.0","9.1",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.1","9.2",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.2","9.3",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.3","9.4",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.4","9.5",0
"Tennessee","3 wk ahead","Bin","percent","9.5","9.6",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.6","9.7",0
"Tennessee","3 wk ahead","Bin","percent","9.7","9.8",1e-04
"Tennessee","3 wk ahead","Bin","percent","9.8","9.9",0
"Tennessee","3 wk ahead","Bin","percent","9.9","10.0",2e-04
"Tennessee","3 wk ahead","Bin","percent","10.0","10.1",1e-04
"Tennessee","3 wk ahead","Bin","percent","10.1","10.2",0
"Tennessee","3 wk ahead","Bin","percent","10.2","10.3",1e-04
"Tennessee","3 wk ahead","Bin","percent","10.3","10.4",0
"Tennessee","3 wk ahead","Bin","percent","10.4","10.5",0
"Tennessee","3 wk ahead","Bin","percent","10.5","10.6",1e-04
"Tennessee","3 wk ahead","Bin","percent","10.6","10.7",3e-04
"Tennessee","3 wk ahead","Bin","percent","10.7","10.8",0
"Tennessee","3 wk ahead","Bin","percent","10.8","10.9",1e-04
"Tennessee","3 wk ahead","Bin","percent","10.9","11.0",0
"Tennessee","3 wk ahead","Bin","percent","11.0","11.1",1e-04
"Tennessee","3 wk ahead","Bin","percent","11.1","11.2",1e-04
"Tennessee","3 wk ahead","Bin","percent","11.2","11.3",1e-04
"Tennessee","3 wk ahead","Bin","percent","11.3","11.4",2e-04
"Tennessee","3 wk ahead","Bin","percent","11.4","11.5",0
"Tennessee","3 wk ahead","Bin","percent","11.5","11.6",1e-04
"Tennessee","3 wk ahead","Bin","percent","11.6","11.7",0
"Tennessee","3 wk ahead","Bin","percent","11.7","11.8",0
"Tennessee","3 wk ahead","Bin","percent","11.8","11.9",1e-04
"Tennessee","3 wk ahead","Bin","percent","11.9","12.0",1e-04
"Tennessee","3 wk ahead","Bin","percent","12.0","12.1",0
"Tennessee","3 wk ahead","Bin","percent","12.1","12.2",0
"Tennessee","3 wk ahead","Bin","percent","12.2","12.3",2e-04
"Tennessee","3 wk ahead","Bin","percent","12.3","12.4",1e-04
"Tennessee","3 wk ahead","Bin","percent","12.4","12.5",2e-04
"Tennessee","3 wk ahead","Bin","percent","12.5","12.6",0
"Tennessee","3 wk ahead","Bin","percent","12.6","12.7",1e-04
"Tennessee","3 wk ahead","Bin","percent","12.7","12.8",2e-04
